perodFrom,periodTo,zoneFrom,zoneTo,Auto,Transit
0,1,17,38,0.01807345,0.003261829
0,1,17,39,0.05392335,0.009731851
0,1,17,40,0.05804525,0.01047574
0,1,18,1,0.01100591,0.002452679
0,1,18,2,0.02779963,0.006195185
0,1,18,3,0.01168629,0.002604303
0,1,18,4,0.2363677,0.05267495
0,1,18,5,0.181446,0.04043543
0,1,18,6,0.2805651,0.06252418
0,1,18,7,0.3805017,0.08479509
0,1,18,8,0.251883,0.05613238
0,1,18,9,0.550486,0.1226768
0,1,18,10,0.001831211,0.0004080877
0,1,18,11,0.565604,0.126046
0,1,18,12,1.693981,0.3775056
0,1,18,13,1.28907,0.2872709
0,1,18,14,1.554331,0.3463846
0,1,18,15,1.194693,0.2662387
0,1,18,16,2.836543,0.6321291
0,1,18,17,2.868573,0.6392649
0,1,18,18,2.271675,0.5062461
0,1,18,19,0.0138341,0.003082947
0,1,18,20,0.004303499,0.0009590405
0,1,18,21,0.01302546,0.002902743
0,1,18,22,0.6352667,0.1415706
0,1,18,23,0.3395727,0.0756745
0,1,18,24,0.5003846,0.1115114
0,1,18,25,0.006883466,0.00153399
0,1,18,30,0.002662198,0.0005932744
0,1,18,34,0.00340871,0.0007596342
0,1,18,35,0.005832922,0.001299875
0,1,18,36,0.009850339,0.002195163
0,1,18,37,0.002194397,0.0004890246
0,1,18,38,0.007490961,0.001669372
0,1,18,39,0.01374073,0.003062141
0,1,18,40,0.01578948,0.003518705
0,1,19,1,0.04573445,0.003657631
0,1,19,2,0.339601,0.06697155
0,1,19,3,0.3882878,0.0851081
0,1,19,4,0.5551388,0.1946487
0,1,19,5,0.090841,0.01946268
0,1,19,6,0.1124134,0.03418484
0,1,19,7,0.1698406,0.051199
0,1,19,8,0.07756282,0.01921715
0,1,19,9,0.2601903,0.07869317
0,1,19,10,0.6836054,0.34745
0,1,19,11,0.1498046,0.04713924
0,1,19,12,0.122904,0.04142974
0,1,19,13,0.09119801,0.0298354
0,1,19,14,0.1213384,0.03185342
0,1,19,15,0.1243724,0.02779973
0,1,19,16,0.2192543,0.04061963
0,1,19,17,0.1392178,0.03351792
0,1,19,18,0.09957193,0.0325914
0,1,19,19,22.26143,41.57936
0,1,19,20,7.595365,12.45848
0,1,19,21,7.912047,10.27707
0,1,19,22,1.258185,0.5097785
0,1,19,23,0.1084223,0.01205227
0,1,19,24,0.2111059,0.03177872
0,1,19,25,0.07441328,0.01079258
0,1,19,30,0.3498183,0.1526907
0,1,19,31,0.06114942,0.007079008
0,1,19,32,0.1311763,0.04350556
0,1,19,33,0.122455,0.0325453
0,1,19,34,0.04199905,0.003876093
0,1,19,35,4.941354,4.561287
0,1,19,36,5.679956,3.709869
0,1,19,37,0.1809584,0.04973699
0,1,19,38,0.4498018,0.1344611
0,1,19,39,0.07809995,0.009509177
0,1,19,40,0.04760495,0.005440792
0,1,20,1,0.00750801,0.0006830377
0,1,20,2,0.05650171,0.01246758
0,1,20,3,0.03825615,0.008187275
0,1,20,4,0.1037055,0.03999377
0,1,20,5,0.01717015,0.003987768
0,1,20,6,0.02143831,0.007075491
0,1,20,7,0.03255562,0.01071127
0,1,20,8,0.01449263,0.003955113
0,1,20,9,0.04667908,0.01609145
0,1,20,10,0.1110932,0.0616576
0,1,20,11,0.02695014,0.008436622
0,1,20,12,0.02099698,0.007797072
0,1,20,13,0.01484254,0.005407922
0,1,20,14,0.01976689,0.005703585
0,1,20,15,0.02027396,0.005052233
0,1,20,16,0.03655896,0.007402156
0,1,20,17,0.02395278,0.006227796
0,1,20,18,0.01741132,0.00581544
0,1,20,19,4.993666,9.126878
0,1,20,20,1.975729,5.172205
0,1,20,21,1.068914,1.041271
0,1,20,22,0.1924032,0.07746372
0,1,20,23,0.01769109,0.002035406
0,1,20,24,0.03413578,0.005276803
0,1,20,25,0.009684932,0.001310268
0,1,20,30,0.01428739,0.002954507
0,1,20,31,0.002157462,9.587202E-05
0,1,20,32,0.004491425,0.0005211287
0,1,20,33,0.003984459,0.0004407503
0,1,20,34,0.001663406,9.183749E-05
0,1,20,35,0.3169632,0.1323269
0,1,20,36,0.9794166,0.610773
0,1,20,37,0.03375925,0.009315569
0,1,20,38,0.09887071,0.02929042
0,1,20,39,0.01109027,0.001317905
0,1,20,40,0.007272401,0.0008674074
0,1,21,1,0.01794077,0.001694618
0,1,21,2,0.1356694,0.03130089
0,1,21,3,0.1010622,0.02511164
0,1,21,4,0.1231051,0.04440008
0,1,21,5,0.02062441,0.005225158
0,1,21,6,0.02577899,0.009199063
0,1,21,7,0.03832413,0.01335549
0,1,21,8,0.01905659,0.006039702
0,1,21,9,0.06572258,0.02530953
0,1,21,10,0.1352518,0.06865116
0,1,21,11,0.03943605,0.01801725
0,1,21,12,0.03566571,0.0189641
0,1,21,13,0.0275246,0.01532564
0,1,21,14,0.03725255,0.01656408
0,1,21,15,0.03929786,0.01469138
0,1,21,16,0.06840358,0.02130376
0,1,21,17,0.04103744,0.01671871
0,1,21,18,0.02705921,0.01593626
0,1,21,19,3.449779,3.459843
0,1,21,20,0.8388143,0.705957
0,1,21,21,5.890588,13.68464
0,1,21,22,0.7808553,0.5892402
0,1,21,23,0.03502282,0.006607355
0,1,21,24,0.06969655,0.01777965
0,1,21,25,0.07820892,0.02145241
