TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,industry,other,service,workplace,superZone,IntExt,xi,yi,Students,area,socio,vehAdultFactor,SZ_new,ssz,settl_size,ORTHO,ARABS,REST,childEdu,adultEdu
309,1101.3,595.4,2252,413.8,444.1,267.5,252.5,724,150,26.89395635,27.44732994,365.4479172,419.7892035,3,2,223.024383,756.717407,571,4.78,10,1,3,3,1,0,0,1,571,0
310,3961.5,2224.7,9665.9,1776.3,1906.3,1148.1,1083.9,3107.7,643.7,3449.705164,83.85727486,722.4454971,4256.063766,3,2,224.452667,748.276306,2911,38.32,6,1,3,3,2,0,0.39,0.61,2911,0
311,296,167.3,892.4,146.2,152.5,85.8,101.9,311,95.1,147.2931956,32.83448287,99.098585,279.219489,3,2,222.570022,760.546325,52,13.61,7,1,3,3,1,0,0,1,52,0
312,553.1,390.6,1440.3,264.7,284,171.1,161.5,463.1,95.9,301.2295123,67.14984506,202.6666494,571.0321521,3,2,228.555694,761.205993,442,5.3,9,1,3,3,1,0,0,1,442,0
313,1916.4,1389.7,5905.8,908.2,1036.2,710,1008.6,1842.9,400,381.6336191,198.413628,365.2891167,945.2589017,3,2,224.43843,758.85382,2768,1.13,3,1,3,3,2,0,1,0,2768,0
314,2104,1719.3,6320.8,1001,1124.4,747.2,1096.3,1917.6,434.4,122.1223108,174.2430478,441.749062,738.0600715,3,2,226.341613,760.292053,1238,1.55,3,1,3,3,2,0,1,0,1238,0
315,3006,1774.2,9280.7,1384.8,1613.5,1149.7,1595.7,2908.3,628.5,427.3997098,414.0648388,956.5205505,1797.985099,3,2,226.037536,759.307128,2957,3.51,2,1,3,3,2,0,1,0,2957,0
316,1449.3,985.8,4930,828.6,928.5,614,850.9,1418.4,289.5,66.9065076,103.7729422,349.7872625,520.4973239,3,2,230.493515,760.386535,2190,2.55,2,1,3,3,2,0,1,0,2190,0
317,1813.2,1121.1,5031,852.7,935.8,592.5,640.5,1568.9,440.7,250.0724679,41.75783145,320.5388085,612.3691078,3,2,232.555206,760.002258,944,6.63,4,1,3,3,2,0,0.93,0.07,944,0
318,3633,2172.2,8231.7,894.3,1117.5,893.6,1429.1,2903.4,993.7,505.4244922,273.5376676,959.6667574,1738.628917,3,2,234.858428,760.267578,1683,6.41,4,1,3,3,2,0,1,0,1683,0
319,0,0,0,0,0,0,0,0,0,5288.94607,224.1681794,227.05535,5740.107732,3,2,230.417037,757.980346,0,2.47,6,1,3,3,3,0,0,1,0,0
320,0,0,0,0,0,0,0,0,0,6472.166007,274.3181063,277.8511822,7024.259587,3,2,229.747695,759.059814,0,0.79,6,1,3,3,3,0,0,1,0,0
321,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,229.340957,756.41809,0,1.26,3,1,3,3,3,0,0,1,0,0
322,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,229.533233,757.756164,0,0.73,3,1,3,3,3,0,0,1,0,0
